month,year,ship_mode,segment,country,city,state,category,sub_category,sales,quantity,discount,profit
January,2017,Standard Class,Consumer,United States,Huntsville,Texas,Office Supplies,Binders,13.748,14,0.8,-22.6842
January,2017,Standard Class,Consumer,United States,Lorain,Ohio,Furniture,Furnishings,48.896,4,0.2,8.5568
January,2017,Standard Class,Consumer,United States,Huntsville,Texas,Office Supplies,Appliances,15.224,2,0.8,-38.8212
January,2017,Standard Class,Consumer,United States,Huntsville,Texas,Office Supplies,Binders,6.47,5,0.8,-9.705
January,2017,Standard Class,Consumer,United States,Huntsville,Texas,Furniture,Chairs,310.744,4,0.3,-26.6352
January,2017,Standard Class,Consumer,United States,Huntsville,Texas,Furniture,Furnishings,141.42,5,0.6,-187.3815
January,2017,Standard Class,Consumer,United States,Huntsville,Texas,Office Supplies,Storage,454.56,5,0.2,-107.958
January,2017,First Class,Home Office,United States,Franklin,Wisconsin,Office Supplies,Binders,3.6,2,0.0,1.7280000000000002
January,2017,Standard Class,Consumer,United States,Huntsville,Texas,Office Supplies,Art,12.735999999999999,4,0.2,2.2288
January,2017,Standard Class,Consumer,United States,Los Angeles,California,Furniture,Furnishings,474.43,11,0.0,199.2606
January,2014,Standard Class,Corporate,United States,Springfield,Virginia,Office Supplies,Labels,2.89,1,0.0,1.3583
January,2014,Standard Class,Corporate,United States,Springfield,Virginia,Furniture,Furnishings,51.94,1,0.0,21.2954
January,2015,Standard Class,Consumer,United States,New York City,New York,Furniture,Tables,1018.1039999999999,4,0.4,-373.3048
January,2016,Standard Class,Corporate,United States,Seattle,Washington,Technology,Accessories,69.98,2,0.0,13.2962
January,2016,Standard Class,Corporate,United States,Seattle,Washington,Furniture,Furnishings,79.92,4,0.0,34.3656
January,2016,Second Class,Consumer,United States,Longview,Washington,Furniture,Furnishings,24.85,5,0.0,7.7035
January,2014,First Class,Consumer,United States,Dover,Delaware,Furniture,Furnishings,9.94,2,0.0,3.0814
January,2016,Second Class,Home Office,United States,Springfield,Ohio,Office Supplies,Paper,63.312,3,0.2,20.5764
January,2016,Second Class,Home Office,United States,Springfield,Ohio,Technology,Phones,15.588,2,0.4,-9.8724
January,2016,Standard Class,Home Office,United States,Columbus,Ohio,Furniture,Furnishings,54.992,14,0.2,8.9362
January,2016,Second Class,Home Office,United States,Springfield,Ohio,Office Supplies,Paper,15.552,3,0.2,5.4432
January,2015,Standard Class,Corporate,United States,Toledo,Ohio,Technology,Phones,107.118,3,0.4,-21.4236
January,2015,Standard Class,Corporate,United States,Toledo,Ohio,Technology,Accessories,10.384,2,0.2,2.2066
January,2015,Standard Class,Corporate,United States,Toledo,Ohio,Technology,Phones,235.188,2,0.4,-43.1178
January,2015,Standard Class,Corporate,United States,Toledo,Ohio,Technology,Phones,26.375999999999998,4,0.4,2.6376
January,2015,Standard Class,Corporate,United States,Newark,Delaware,Office Supplies,Storage,465.18,3,0.0,120.9468
January,2015,Standard Class,Corporate,United States,Toledo,Ohio,Office Supplies,Art,10.368,2,0.2,1.5552
January,2017,Standard Class,Corporate,United States,San Francisco,California,Office Supplies,Envelopes,9.78,1,0.0,4.89
January,2017,Standard Class,Corporate,United States,Dallas,Texas,Office Supplies,Binders,760.98,5,0.8,-1141.47
January,2017,Second Class,Home Office,United States,Washington,District of Columbia,Office Supplies,Paper,40.08,6,0.0,19.2384
January,2017,Second Class,Home Office,United States,Washington,District of Columbia,Furniture,Furnishings,37.68,2,0.0,15.8256
January,2014,Standard Class,Consumer,United States,Newark,Ohio,Office Supplies,Paper,37.408,7,0.2,13.0928
January,2014,Standard Class,Consumer,United States,San Francisco,California,Furniture,Bookcases,333.999,3,0.15,3.9294
January,2014,Second Class,Corporate,United States,Bossier City,Louisiana,Office Supplies,Storage,572.58,6,0.0,34.3548
January,2014,Second Class,Corporate,United States,Bossier City,Louisiana,Office Supplies,Binders,5.64,3,0.0,2.7072
January,2014,Second Class,Corporate,United States,Bossier City,Louisiana,Technology,Accessories,646.74,6,0.0,258.69599999999997
January,2014,Second Class,Corporate,United States,Bossier City,Louisiana,Office Supplies,Envelopes,50.94,3,0.0,25.47
January,2014,Second Class,Corporate,United States,Bossier City,Louisiana,Office Supplies,Envelopes,11.36,2,0.0,5.3392
January,2014,Standard Class,Consumer,United States,Newark,Ohio,Office Supplies,Binders,3.438,2,0.7,-2.5212
January,2014,Second Class,Consumer,United States,Mount Pleasant,South Carolina,Furniture,Chairs,545.94,6,0.0,87.3504
January,2014,Standard Class,Consumer,United States,San Francisco,California,Office Supplies,Storage,1325.85,5,0.0,238.653
January,2014,Standard Class,Consumer,United States,San Francisco,California,Office Supplies,Art,19.9,5,0.0,6.567
January,2015,Standard Class,Consumer,United States,Los Angeles,California,Furniture,Furnishings,464.85,9,0.0,92.97
January,2015,Standard Class,Consumer,United States,Los Angeles,California,Furniture,Furnishings,77.6,4,0.0,38.024
January,2015,Standard Class,Consumer,United States,Los Angeles,California,Office Supplies,Binders,70.008,3,0.2,24.5028
January,2015,Second Class,Corporate,United States,Columbus,Georgia,Office Supplies,Labels,9.82,2,0.0,4.8118
January,2017,Second Class,Corporate,United States,Springfield,Missouri,Office Supplies,Paper,32.4,5,0.0,15.552
January,2017,Second Class,Corporate,United States,Springfield,Missouri,Office Supplies,Art,209.94,6,0.0,54.5844
